year,imdb,title,test,clean_test,binary,budget,Country,Genre,isUSFilm,Production,RT_Score
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,ok,PASS,90000000,USA,"Adventure, Family, Fantasy, Thriller",True,20th Century Fox,42
2013,tt1392214,Prisoners,ok,ok,PASS,46000000,USA,"Crime, Drama, Mystery, Thriller",True,Warner Bros.,80
2013,tt0790736,R.I.P.D.,notalk,notalk,FAIL,130000000,USA,"Action, Adventure, Comedy, Fantasy, Sci-Fi",True,Universal Pictures,13
2013,tt1821694,Red 2,ok,ok,PASS,84000000,"USA, France, Canada","Action, Comedy, Crime, Thriller",True,Lionsgate Films,44
2013,tt1411250,Riddick,notalk-disagree,notalk,FAIL,38000000,"Canada, USA","Action, Adventure, Sci-Fi, Thriller",True,Universal Classics,57
2013,tt2364841,Runner Runner,nowomen,nowomen,FAIL,30000000,USA,"Crime, Thriller",True,20th Century Fox,8
2013,tt1979320,Rush,notalk,notalk,FAIL,38000000,"UK, Germany, USA","Action, Biography, Drama, Sport",True,Universal Pictures,89
2013,tt1702439,Safe Haven,ok,ok,PASS,28000000,USA,"Drama, Romance, Thriller",True,Relativity Media,13
2013,tt2140373,Saving Mr. Banks,ok,ok,PASS,35000000,"USA, UK, Australia","Biography, Comedy, Drama, Family, Music",True,Walt Disney Pictures,79
2013,tt2053463,Side Effects,ok,ok,PASS,30000000,USA,"Crime, Drama, Mystery, Thriller",True,Open Road Films,82
2013,tt1408101,Star Trek Into Darkness,notalk-disagree,notalk,FAIL,190000000,USA,"Action, Adventure, Sci-Fi",True,Paramount,84
2013,tt1572315,Texas Chainsaw 3D,ok-disagree,ok,PASS,20000000,USA,"Horror, Thriller",True,Lionsgate Films,18
2013,tt1931435,The Big Wedding,ok,ok,PASS,32500000,USA,"Comedy, Drama, Romance",True,Lionsgate Films,7
2013,tt0816442,The Book Thief,ok,ok,PASS,19000000,"USA, Germany","Drama, War",True,20th Century Fox,47
2013,tt1911644,The Call,ok,ok,PASS,13000000,USA,"Crime, Drama, Horror, Thriller",True,Sony Pictures,45
