year,imdb,title,clean_test,clean_test_numeric,binary,budget,Country,Genre,isAction,isCrime,isUSFilm,Production,RT_Score
2009,tt0448182,Yesterday Was a Lie,ok,3,PASS,200000,USA,"Drama, Music, Mystery",FALSE,FALSE,TRUE,Helicon Arts Cooperative,83
2009,tt0403702,Youth in Revolt,notalk,1,FAIL,18000000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,The Weinstein Company,66
2009,tt1156398,Zombieland,ok,3,PASS,23600000,USA,"Adventure, Comedy, Horror, Sci-Fi",FALSE,FALSE,TRUE,Sony/Columbia Pictures,90
2008,tt0478087,21,ok,3,PASS,35000000,USA,"Crime, Drama, History, Thriller",FALSE,TRUE,TRUE,Sony/Columbia Pictures,35
2008,tt0800308,Appaloosa,notalk,1,FAIL,20000000,USA,"Crime, Drama, Romance, Western",FALSE,TRUE,TRUE,Warner Bros. Pictures,77
2008,tt0455824,Australia,men,2,FAIL,130000000,"UK, Australia, USA","Adventure, Comedy, Drama, Romance, War, Western",FALSE,FALSE,TRUE,20th Century Fox,55
2008,tt0871426,Baby Mama,ok,3,PASS,30000000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,Universal Pictures,64
2008,tt0799934,Be Kind Rewind,notalk,1,FAIL,20000000,"UK, France, USA",Comedy,FALSE,FALSE,TRUE,New Line Cinema,65
2008,tt0960731,Bedtime Stories,ok,3,PASS,80000000,USA,"Comedy, Family, Fantasy, Romance",FALSE,FALSE,TRUE,Walt Disney Pictures,26
2008,tt0861689,Blindness,ok,3,PASS,25000000,"Canada, Brazil, Japan","Drama, Mystery, Sci-Fi, Thriller",FALSE,FALSE,FALSE,Miramax,44
2008,tt0397892,Bolt,ok,3,PASS,150000000,USA,"Animation, Adventure, Comedy, Drama, Family",FALSE,FALSE,TRUE,Walt Disney Pictures,89
2008,tt0887883,Burn After Reading,notalk,1,FAIL,37000000,"USA, UK, France","Comedy, Crime, Drama, Thriller",FALSE,TRUE,TRUE,Focus Features,78
2008,tt0824747,Changeling,ok,3,PASS,55000000,USA,"Biography, Crime, Drama, History, Mystery, Thriller",FALSE,TRUE,TRUE,Universal Pictures,61
2008,tt0892255,Che: Part One,notalk,1,FAIL,58000000,"France, Spain, USA","Biography, Drama, History, War",FALSE,FALSE,TRUE,IFC Films,67
2008,tt0970411,City of Ember,ok,3,PASS,38000000,USA,"Adventure, Family, Fantasy, Sci-Fi",FALSE,FALSE,TRUE,Fox Walden,53
2008,tt1060277,Cloverfield,ok,3,PASS,25000000,USA,"Action, Horror, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Paramount,77
2008,tt0489018,Day of the Dead,ok,3,PASS,18000000,USA,"Action, Horror, Thriller",TRUE,FALSE,TRUE,First Look International,14
2008,tt0452608,Death Race,notalk,1,FAIL,65000000,"USA, Germany, UK","Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Universal Pictures,42
2008,tt1034303,Defiance,ok,3,PASS,50000000,USA,"Action, Drama, History, Thriller, War",TRUE,FALSE,TRUE,Paramount Vantage,57
2008,tt0832266,"Definitely, Maybe",ok,3,PASS,7000000,"UK, France, Germany, USA","Comedy, Drama, Romance",FALSE,FALSE,TRUE,Universal Pictures,71
2008,tt0483607,Doomsday,ok,3,PASS,33000000,"UK, USA, South Africa, Germany","Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Universal Pictures,51
2008,tt0918927,Doubt,ok,3,PASS,20000000,USA,"Drama, Mystery",FALSE,FALSE,TRUE,Miramax,80
2008,tt1059786,Eagle Eye,notalk,1,FAIL,80000000,"USA, Germany","Action, Mystery, Thriller",TRUE,FALSE,TRUE,Paramount Studios,27
2008,tt0808244,Easy Virtue,ok,3,PASS,14000000,"UK, Canada","Comedy, Romance",FALSE,FALSE,FALSE,Sony Pictures Classics,52
2008,tt1129423,Fireproof,men,2,FAIL,500000,USA,"Drama, Romance",FALSE,FALSE,TRUE,Sherwood Pictures,40
2008,tt0486321,Fly Me to the Moon,nowomen,0,FAIL,25000000,"Belgium, USA","Animation, Adventure, Family",FALSE,FALSE,TRUE,Summit Entertainment,19
2008,tt0800039,Forgetting Sarah Marshall,ok,3,PASS,30000000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,Universal Pictures,83
2008,tt0369436,Four Christmases,ok,3,PASS,80000000,"Germany, USA","Comedy, Drama, Romance",FALSE,FALSE,TRUE,New Line Cinema,24
2008,tt0870111,Frost/Nixon,notalk,1,FAIL,29000000,"UK, France, USA","Biography, Drama, History",FALSE,FALSE,TRUE,Universal Pictures,93
2008,tt0978759,Frozen River,ok,3,PASS,1000000,USA,"Crime, Drama",FALSE,TRUE,TRUE,Sony Pictures Classics,88
2008,tt0876563,Gake no ue no Ponyo,ok,3,PASS,34000000,Japan,"Animation, Adventure, Comedy, Family, Fantasy",FALSE,FALSE,FALSE,Walt Disney Pictures,92
2008,tt0995039,Ghost Town,notalk,1,FAIL,20000000,USA,"Comedy, Drama, Fantasy, Romance",FALSE,FALSE,TRUE,DreamWorks/Paramount Distribution,85
2008,tt1205489,Gran Torino,men,2,FAIL,25000000,"Germany, USA",Drama,FALSE,FALSE,TRUE,Warner Bros. Pictures/Village Roadshow,80
2008,tt1104733,Hamlet 2,ok,3,PASS,9000000,USA,"Comedy, Music",FALSE,FALSE,TRUE,Focus Features,62
2008,tt0448157,Hancock,nowomen,0,FAIL,150000000,USA,"Action, Drama, Fantasy",TRUE,FALSE,TRUE,Columbia Pictures,41
2008,tt1227929,Herb &amp; Dorothy,ok,3,PASS,82500000,USA,"Documentary, Biography",FALSE,FALSE,TRUE,Arthouse Films,96
2008,tt0962726,High School Musical 3: Senior Year,ok,3,PASS,11000000,USA,"Comedy, Drama, Family, Music, Musical, Romance",FALSE,FALSE,TRUE,Walt Disney Pictures,64
